date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200614,CO,29017,215626,,262,5244,,,,,4178,A,6/13/20 0:00,2020-06-13T00:00:00Z,6/12/20 20:00,1598,5244,2020-06-13T00:00:00Z,,,,26408,8,195,7987,244643,244643,8182,244643,3,10,6d886d6f97502d221ade39a4f9275b83c511c116,0,0,0,0,0,
20200614,CT,45088,304018,,205,9912,,,,,7611,B,6/14/20 16:00,2020-06-14T16:00:00Z,6/14/20 12:00,4201,9912,2020-06-14T16:00:00Z,347190,,,43172,9,94,4758,349106,349106,4852,349106,15,0,7bd5571320d1345f72e9e4d9a09f3a8e1d6f0e33,0,0,0,0,0,
20200614,DC,9767,54763,,186,,71,,50,,1150,A+,6/13/20 0:00,2020-06-13T00:00:00Z,6/12/20 20:00,515,,2020-06-13T00:00:00Z,,,,9767,11,58,1436,64530,64530,1494,64530,4,0,558224b0b77dbd936047d07b289c7421dc9ade56,0,0,0,0,0,
20200614,DE,10264,71523,,93,,,,,,6172,A,6/13/20 18:00,2020-06-13T18:00:00Z,6/13/20 14:00,422,,2020-06-13T18:00:00Z,,,,9313,10,35,1653,81787,81787,1688,81787,3,0,8db9200f140c89893540a0a56c88171a840025fe,0,0,0,0,0,
20200614,FL,75568,1333447,1184,,12224,,,,,,A,6/14/20 10:00,2020-06-14T10:00:00Z,6/14/20 6:00,3022,12224,2020-06-14T10:00:00Z,1658074,101662,1553385,75568,12,2016,36586,1410199,1409015,38602,1409015,6,69,8c6641b21d8d2d33c54bfc7f60f8aa5a17f00a00,0,0,0,0,0,
20200614,GA,57681,563109,,829,9248,,2034,,,,A,6/14/20 14:50,2020-06-14T14:50:00Z,6/14/20 10:50,2451,9248,2020-06-14T14:50:00Z,615466,52357,563109,57681,13,880,20230,620790,620790,21110,620790,5,24,ab9366ad98162d41ad81c270a26b0dbcc2e034bc,0,0,0,0,0,
20200614,GU,185,8358,,,,,,,,168,B,6/14/20 1:25,2020-06-14T01:25:00Z,6/13/20 21:25,5,,2020-06-14T01:25:00Z,8426,176,8249,177,66,0,0,8543,8543,0,8543,0,0,5f6cdceb01b2644bcc1bb94d4b44808fc57263e1,0,0,0,0,0,
20200614,HI,723,59599,,,89,,,,,628,D,6/13/20 18:00,2020-06-13T18:00:00Z,6/13/20 14:00,17,89,2020-06-13T18:00:00Z,69512,723,68789,723,15,17,967,60322,60322,984,60322,0,2,21fcd92b74b2a99759702ce150b3cd51729d7c00,0,0,0,0,0,
20200614,IA,23926,200708,,203,,77,,47,,14383,A+,6/14/20 0:00,2020-06-14T00:00:00Z,6/13/20 20:00,652,,2020-06-14T00:00:00Z,,,,23926,19,209,4817,224634,224634,5026,224634,2,0,611334e647b8f3fb20df0e2c02c988f37bae9f8c,0,0,0,0,0,
20200614,ID,3399,59581,,,266,,98,,,2837,A,6/13/20 19:00,2020-06-13T19:00:00Z,6/13/20 15:00,87,266,2020-06-13T19:00:00Z,62642,,,3061,16,46,276,62980,62980,322,62980,0,1,82c6205caf19ec119ae6a9d656cf14625b9b0638,0,0,0,0,0,
